Courier_id,Location_id,Stop_Type,Arrival_time,Departure_time,Amount,Order_id
D0004,A088,site,0,0,0,
D0004,B4818,ecommerce_delivery,11,32,27,F6923
D0004,B6524,ecommerce_delivery,43,65,33,F3731
D0004,B2749,ecommerce_delivery,78,99,30,F0657
D0004,B0605,ecommerce_delivery,113,143,65,F6719
D0004,B3724,ecommerce_delivery,198,225,56,F6192
D0004,B3563,ecommerce_delivery,244,262,17,F5842
D0004,B5085,ecommerce_delivery,279,305,48,F2375
D0004,B5582,ecommerce_delivery,317,342,44,F2991
D0004,B8707,ecommerce_delivery,349,371,35,F4588
D0004,B7064,ecommerce_delivery,378,409,77,F2110
D0004,B4997,ecommerce_delivery,414,441,55,F5182
D0004,B3873,ecommerce_delivery,448,479,73,F4560
D0004,S466,shop,498,506,1,E3371
D0004,B5001,ecommerce_delivery,511,544,85,F0148
D0004,B6926,ecommerce_delivery,549,578,61,F3786
D0012,A055,site,0,0,0,
D0012,B3853,ecommerce_delivery,73,107,93,F2053
D0012,B1239,ecommerce_delivery,110,145,97,F2009
D0012,B7122,ecommerce_delivery,170,191,30,F2403
D0012,B1128,ecommerce_delivery,193,216,33,F2335
D0012,B6380,ecommerce_delivery,238,255,17,F5869
D0012,B0339,ecommerce_delivery,260,292,77,F5809
D0012,B2846,ecommerce_delivery,294,317,37,F5832
D0012,B4336,ecommerce_delivery,371,389,19,F4255
D0012,B0522,ecommerce_delivery,443,461,19,F7528
D0012,B7607,ecommerce_delivery,479,502,35,F3099
D0012,B4554,ecommerce_delivery,555,565,3,F6346
D0020,A075,site,0,0,0,
D0020,B3681,ecommerce_delivery,179,205,48,F3297
D0020,B0714,ecommerce_delivery,223,244,30,F4174
D0020,B5154,ecommerce_delivery,306,330,41,F5184
D0020,B7726,ecommerce_delivery,370,397,53,F2408
D0020,B4323,ecommerce_delivery,398,422,41,F2369
D0020,B4176,ecommerce_delivery,470,503,92,F5849
D0020,B7363,ecommerce_delivery,510,534,39,F6218
D0020,B5712,ecommerce_delivery,572,586,10,F6360
D0020,B0816,ecommerce_delivery,651,675,40,F7204
D0028,A079,site,0,0,0,
D0028,B6072,ecommerce_delivery,27,46,22,F2203
D0028,B0933,ecommerce_delivery,61,85,40,F2154
D0028,B3597,ecommerce_delivery,92,122,71,F0348
D0028,B1399,ecommerce_delivery,132,153,26,F0325
D0028,B0146,ecommerce_delivery,166,193,54,F0312
D0028,B5524,ecommerce_delivery,224,247,36,F2989
D0028,B7932,ecommerce_delivery,276,302,49,F5224
D0028,B9085,ecommerce_delivery,322,347,45,F6712
D0028,B3318,ecommerce_delivery,350,383,87,F6695
D0028,B9090,ecommerce_delivery,401,423,34,F5940
D0028,B3740,ecommerce_delivery,428,455,52,F5899
D0028,B8498,ecommerce_delivery,482,503,29,F4467
D0028,B4740,ecommerce_delivery,539,556,16,F3835
D0028,B7257,ecommerce_delivery,573,590,16,F3095
D0028,B8720,ecommerce_delivery,609,635,49,F6786
D0028,B5455,ecommerce_delivery,646,672,49,F8316
D0036,A091,site,0,0,0,
D0036,B6988,ecommerce_delivery,67,91,38,F2402
D0036,B2499,ecommerce_delivery,98,122,42,F2351
D0036,B4670,ecommerce_delivery,142,175,90,F2065
D0036,B2953,ecommerce_delivery,179,197,17,F2033
D0036,B0524,ecommerce_delivery,201,229,58,F1994
D0036,B7644,ecommerce_delivery,237,267,67,F3789
D0036,B0147,ecommerce_delivery,290,325,98,F3704
D0036,B4690,ecommerce_delivery,388,414,47,F6349
